city,precinct,zip,race,party,sex,age,turf,voted01,voted00,voted99,family,famsize,represen,reached,other,goaway,nothome,bad,cant,nothing,contact,treatmen,primary
Bridgeport,Colombus School,6604,,D,F,36,16,0,0,,12096,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,25,16,0,0,,12144,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Harbor View Towers,6608,,D,F,44,17,0,0,,13245,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Harbor View Towers,6608,,D,F,67,17,0,0,,13250,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Harbor View Towers,6608,,D,F,20,17,0,0,,13253,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Harbor View Towers,6608,,D,F,31,17,0,0,,13257,3,1,0,0,0,0,0,,,0,0,0
Bridgeport,Harbor View Towers,6608,,D,F,39,17,1,1,,13259,2,1,0,0,0,1,0,,,0,1,0
Bridgeport,Harbor View Towers,6608,,D,F,74,17,1,1,,13260,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Harbor View Towers,6608,,D,F,39,17,0,0,,13267,3,1,0,0,0,0,0,,,0,0,0
Bridgeport,Harbor View Towers,6608,,D,F,37,17,0,0,,13269,2,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6605,,D,F,74,18,0,1,,13333,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,72,18,0,1,,13340,3,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,29,18,0,1,,13342,4,1,0,0,0,0,1,,,0,1,0
Bridgeport,Colombus School,6605,,D,F,46,18,0,1,,13344,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,42,18,0,1,,13349,3,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,51,18,0,0,,13350,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6605,,D,F,43,18,0,1,,13353,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,32,18,0,1,,13355,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,61,18,0,1,,13359,3,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,75,18,0,1,,13365,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,81,18,0,0,,13370,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,70,19,0,1,,13660,2,1,0,0,0,0,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,46,20,0,1,,13908,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,48,20,0,0,,13913,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6605,,D,F,19,20,0,1,,13937,3,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6605,,D,F,52,20,0,1,,13939,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,63,20,1,1,,13943,2,1,0,0,0,1,0,,,0,1,0
